,alpha,beta,delta
0,1.0818970076682769e-08,1.2879726281765201e-08,6.546019322121097e-10
1,1.1544140377122792e-07,1.3743024258479513e-07,5.729755080759869e-09
2,2.2907163601913035e-07,2.727043285942028e-07,1.0885613573756156e-08
3,3.537039192432247e-07,4.2107609433717224e-07,1.6421148556690057e-08
4,4.393515168292478e-07,5.230375200348187e-07,2.0222251340968955e-08
5,5.054938403353052e-07,6.017783813515538e-07,2.4090494946449818e-08
6,5.38017737072347e-07,6.404973060385084e-07,2.4910836281664754e-08
7,4.7598422195921215e-07,5.666478832847763e-07,2.1611015445154922e-08
8,3.171423671379637e-07,3.7755043706900437e-07,1.4530171998537437e-08
9,1.435126057806708e-07,1.7084834021508428e-07,6.933498246663059e-09
10,8.501891798646755e-08,1.0121299760293754e-07,3.991799175669154e-09
11,5.7493225748494137e-08,6.844431636725493e-08,2.656570228840641e-09
12,9.8704110319199e-09,1.1750489323714165e-08,4.966789368196334e-10
13,8.812124422437547e-10,1.049062431242565e-09,5.2706729821477173e-11
14,2.1332169637240647e-10,2.53954400443341e-10,1.442566167501647e-11
